Category,Materials/binder,Pure/Mixture,Second component in mixtures,More mixted,Third component in mixtures,Label in GT,R,G,B,,,
,Unknown substrate,,,,,0,0,0,0,,,Equivalence with descriptive text in the database samples
,Unknown foreground,,,,,1,255,255,255,,,Chinese ink=carbon ink (pure)
Ink,Metallo-gallate ink,pure,,,,2,62,38,65,,,Bistre=carbon ink
Ink,Metallo-gallate ink,mixture,carbon,,,3,58,32,37,,,Vine black =carbon ink
Ink,Metallo-gallate ink,mixture,sepia,,,4,95,63,36,,,Bone black =carbon ink
Ink,Metallo-gallate ink,mixture,earth,,,5,68,42,30,,,Grape black =carbon ink
Ink,Carbon,pure,,,,6,15,15,15,,,cherry black=carbon ink
Ink,Carbon,mixture,earth,,,7,81,37,33,,,Lamp black=carbon ink
Ink,Carbon,mixture,sepia,,,8,92,63,66,,,Ivory black=carbon ink
Ink,Sepia,pure,,,,9,88,70,37,,,Atramentum=Metallo-galleate pure
Pencil,Pencil,,,,,10,137,140,144,,,
Substrate,Parchment,,,,,11,238,217,199,,,
Substrate,Cotton-linen,,,,,12,236,214,185,,,
Substrate,Linen,,,,,13,230,239,205,,,
Substrate,Paper,,,,,14,191,219,199,,,
Substrate,Translucent paper,,,,,15,188,190,145,,,
Substrate,Watercolor paper,,,,,16,172,201,205,,,
Substrate,Hemp paper,,,,,17,255,214,202,,,
Substrate,Cotton/Somerset paper,,,,,18,226,204,209,,,
Ink,Willowbark ink,,,,,19,38,54,40,,,
Ink,Metallo-gallate ink,mixture,unknown,,,20,30,35,40,,,
Pigment,Charcoal/Conté bar,,,,,21,70,30,51,,,
Pigment,Blue pigment with achrylic Modium,,,,,22,0,65,140,,,
Pigment,Watercolor blue pigment,,,,,23,89,121,163,,,
Pigment,Blue oil pigment,,,,,24,9,138,203,,,
Pigment,Blue watercolor pencil,,,,,25,51,101,145,,,
Pigment,Brown watercolor pencil,,,,,26,119,75,68,,,
Pigment,Orange watercolor pencil,,,,,27,255,143,125,,,
Pigment,Magenta watercolor pencil,,,,,28,128,26,64,,,
Pigment,Blue crayon,,,,,29,36,149,190,,,
Pigment,Blue pencil,,,,,30,0,103,153,,,
Pigment,Black indellible marker pen,,,,,31,20,54,73,,,
Pigment,Blue marker pen,,,,,32,129,198,225,,,
Pigment,Sanguine from pencil,,,,,33,182,84,36,,,
Pigment,Sanguine bar,,,,,34,214,121,82,,,
Pigment,Dark blue sgrafitto tempera,,,,,35,37,45,124,,,
Pigment,Greeen sgraphitto tempera,,,,,36,0,89,64,,,
Pigment,Red sgraphitto tempera pigment,,,,,37,198,44,32,,,
Pigment,Red earth pigment (andalusian red earth),,,,,38,253,130,54,,,
Pigment,Minium,,,,,39,253,126,0,,,
Pigment,Azurite,,,,,40,41,179,210,,,
Pigment,Lead White,,,,,41,212,205,204,,,
Pigment,Malaquite/Verdigris,,,,,42,180,193,0,,,
Pigment,Vermillion/Cinnabar,,,,,43,161,52,50,,,
Pigment,Lead Tin Yellow,,,,,44,236,189,0,,,
Pigment,Gamboge,,,,,45,251,217,98,,,
Pigment,Silver,,,,,46,230,223,201,,,
Pigment,Carmine,,,,,47,161,99,95,,,
Pigment,Macerated chambronera berries,,,,,48,157,113,32,,,
Pigment,Violet lacquer,,,,,49,81,92,148,,,
Pigment,Red lacquer,,,,,50,235,42,20,,,
Pigment,Orpiment,,,,,51,232,216,181,,,
Preparation/ornament,Mixtion gold,,,,,52,248,180,0,,,
Preparation/ornament,Unburnished water soluble gold,,,,,53,246,195,87,,,
Preparation/ornament,Gold leaf,,,,,54,213,179,115,,,
Preparation/ornament,Sanded stucco,,,,,55,202,188,159,,,
Preparation/ornament,Armenian bole,,,,,56,111,54,35,,,
Preparation/ornament,Gum arabic,,,,,57,203,179,114,,,
Preparation/ornament,Pomegranate,,,,,58,180,139,144,,,
Preparation/ornament,Infusion of myrtle leaves,,,,,59,194,165,206,,,
Preparation/ornament,Egg white,,,,,60,240,240,200,,,
Pigment in mock-ups,Azurite - Gum arabic,,,,,61,60,200,210,,,
Pigment in mock-ups,Enamel - Gum arabic,,,,,62,0,70,100,,,
Pigment in mock-ups,Lapis lazuli - Gum arabic,,,,,63,53,24,165,,,
Pigment in mock-ups,Lead white - Gum arabic,,,,,64,235,235,210,,,
Pigment in mock-ups,Calcite - Gum arabic,,,,,65,177,165,155,,,
Pigment in mock-ups,Cinnabar - Gum arabic,,,,,66,172,65,57,,,
Pigment in mock-ups,Hematite - Gum arabic,,,,,67,162,75,68,,,
Pigment in mock-ups,Minium - Gum arabic,,,,,68,235,143,20,,,
Pigment in mock-ups,Orpiment - Gum arabic,,,,,69,212,183,141,,,
Pigment in mock-ups,Lead-tin yellow - Gum arabic,,,,,70,175,155,15,,,
Pigment in mock-ups,Malachite - Gum arabic,,,,,71,155,173,35,,,
Pigment in mock-ups,Verdigris - Gum arabic,,,,,72,172,193,45,,,
Pigment in mock-ups,Yellow ochre - Gum arabic,,,,,73,135,127,7,,,
Pigment in mock-ups,Burnt umber - Gum arabic,,,,,74,115,105,0,,,
Pigment in mock-ups,Grape black - Gum arabic,,,,,75,75,87,75,,,
Pigment in mock-ups,Azurite - Gum arabic,mixture,Lead white - Gum arabic,,,76,80,220,230,,,
Pigment in mock-ups,Lead-tin yellow - Gum arabic,mixture,Lead white - Gum arabic,,,77,200,185,65,,,
