Label in GT,Category,Materials/binder,Pure/Mixture,Second component in mixtures,More mixted,Third component in mixtures,R,G,B
0,,Unknown substrate,,,,,0,0,0
1,,Unknown foreground,,,,,255,255,255
2,Ink,Metallo-gallate ink,pure,,,,62,38,65
3,Ink,Metallo-gallate ink,mixture,carbon,,,58,32,37
4,Ink,Metallo-gallate ink,mixture,sepia,,,95,63,36
5,Ink,Metallo-gallate ink,mixture,earth,,,68,42,30
6,Ink,Carbon,pure,,,,15,15,15
7,Ink,Carbon,mixture,earth,,,81,37,33
8,Ink,Carbon,mixture,sepia,,,92,63,66
9,Ink,Sepia,pure,,,,88,70,37
10,Pencil,Pencil,,,,,137,140,144
11,Substrate,Parchment,,,,,238,217,199
12,Substrate,Cotton-linen,,,,,236,214,185
13,Substrate,Linen,,,,,230,239,205
14,Substrate,Paper,,,,,191,219,199
15,Substrate,Translucent paper,,,,,188,190,145
16,Substrate,Watercolor paper,,,,,172,201,205
17,Substrate,Hemp paper,,,,,255,214,202
18,Substrate,Cotton/Somerset paper,,,,,226,204,209
19,Ink,Willowbark ink,,,,,38,54,40
20,Ink,Metallo-gallate ink,mixture,unknown,,,30,35,40
21,Pigment,Charcoal/Conté bar,,,,,70,30,51
22,Pigment,Blue pigment with achrylic Modium,,,,,0,65,140
23,Pigment,Watercolor blue pigment,,,,,89,121,163
24,Pigment,Blue oil pigment,,,,,9,138,203
25,Pigment,Blue watercolor pencil,,,,,51,101,145
26,Pigment,Brown watercolor pencil,,,,,119,75,68
27,Pigment,Orange watercolor pencil,,,,,255,143,125
28,Pigment,Magenta watercolor pencil,,,,,128,26,64
29,Pigment,Blue crayon,,,,,36,149,190
30,Pigment,Blue pencil,,,,,0,103,153
31,Pigment,Black indellible marker pen,,,,,20,54,73
32,Pigment,Blue marker pen,,,,,129,198,225
33,Pigment,Sanguine from pencil,,,,,182,84,36
34,Pigment,Sanguine bar,,,,,214,121,82
35,Pigment,Dark blue sgrafitto tempera,,,,,37,45,124
36,Pigment,Greeen sgraphitto tempera,,,,,0,89,64
37,Pigment,Red sgraphitto tempera pigment,,,,,198,44,32
38,Pigment,Red earth pigment (andalusian red earth),,,,,253,130,54
39,Pigment,Minium,,,,,253,126,0
40,Pigment,Azurite,,,,,41,179,210
41,Pigment,Lead White,,,,,212,205,204
42,Pigment,Malaquite/Verdigris,,,,,180,193,0
43,Pigment,Vermillion/Cinnabar,,,,,161,52,50
44,Pigment,Lead Tin Yellow,,,,,236,189,0
45,Pigment,Gamboge,,,,,251,217,98
46,Pigment,Silver,,,,,230,223,201
47,Pigment,Carmine,,,,,161,99,95
48,Pigment,Macerated chambronera berries,,,,,157,113,32
49,Pigment,Violet lacquer,,,,,81,92,148
50,Pigment,Red lacquer,,,,,235,42,20
51,Pigment,Orpiment,,,,,232,216,181
52,Preparation/ornament,Mixtion gold,,,,,248,180,0
53,Preparation/ornament,Unburnished water soluble gold,,,,,246,195,87
54,Preparation/ornament,Gold leaf,,,,,213,179,115
55,Preparation/ornament,Sanded stucco,,,,,202,188,159
56,Preparation/ornament,Armenian bole,,,,,111,54,35
57,Preparation/ornament,Gum arabic,,,,,203,179,114
58,Preparation/ornament,Pomegranate,,,,,180,139,144
59,Preparation/ornament,Infusion of myrtle leaves,,,,,194,165,206
60,Preparation/ornament,Egg white,,,,,240,240,200
61,Pigment in mock-ups,Azurite - Gum arabic,,,,,60,200,210
62,Pigment in mock-ups,Enamel - Gum arabic,,,,,0,70,100
63,Pigment in mock-ups,Lapis lazuli - Gum arabic,,,,,53,24,165
64,Pigment in mock-ups,Lead white - Gum arabic,,,,,235,235,210
