wl,Sepia pure,Iron Gall pure,Bone black pure,Ivory black pure,Grape black,Cherry black,Bistre,Lampblack
400,0.1090893,0.1327128,0.06988385,0.2198895,0.3653467,0.1157972,0.1505258,0.08113179
405,0.1049861,0.127447,0.06406279,0.2152707,0.3632414,0.1095375,0.1459348,0.07591263
410,0.1022712,0.1242013,0.05997401,0.2129813,0.3637736,0.1055655,0.1430994,0.07244027
415,0.1006916,0.122337,0.05704792,0.2121204,0.3649792,0.1029275,0.1415118,0.07006332
420,0.1000382,0.1210631,0.05511847,0.2116557,0.3660046,0.1009831,0.1404711,0.06835949
425,0.1002569,0.1208436,0.05401958,0.2125199,0.3680446,0.09997358,0.1404362,0.06765308
430,0.1004943,0.1205205,0.05315803,0.2129132,0.3687528,0.09911958,0.1404298,0.06697155
435,0.1011307,0.1202566,0.05254737,0.2134216,0.3696088,0.09851054,0.1405631,0.06642498
440,0.1019393,0.1200576,0.05214432,0.2143211,0.3709072,0.09811055,0.141089,0.06606229
445,0.1027853,0.1198606,0.05181387,0.2152318,0.3718444,0.09768321,0.1416888,0.06605637
450,0.103596,0.1196175,0.05148754,0.2161068,0.3728965,0.09735479,0.1421886,0.0657189
455,0.1043816,0.1192217,0.05117392,0.2168436,0.3735744,0.09701834,0.1428206,0.06546791
460,0.1051553,0.1187917,0.05076838,0.2174918,0.3742164,0.09657887,0.1432894,0.06521861
465,0.1057868,0.118271,0.05040421,0.2182391,0.3748783,0.09619225,0.1439052,0.06488954
470,0.106439,0.1179551,0.05004212,0.2191132,0.3755315,0.09589882,0.1445529,0.06463572
475,0.107116,0.1174921,0.04963193,0.2197041,0.3759882,0.09551758,0.1451334,0.06430933
480,0.1079195,0.1172363,0.04937693,0.2206276,0.3770495,0.09529211,0.1459738,0.06415471
485,0.1087528,0.1170114,0.04916859,0.2213592,0.3778445,0.09515213,0.1467294,0.06398811
490,0.1094691,0.1167925,0.04898876,0.2222652,0.3785711,0.09493,0.1474731,0.06380464
495,0.11023,0.116687,0.04895567,0.223201,0.3793162,0.09487875,0.1483215,0.06367422
500,0.111038,0.1165492,0.04885352,0.2239693,0.3799697,0.09475984,0.1492105,0.06362684
505,0.1119636,0.116586,0.04887787,0.2248772,0.3807186,0.09475379,0.1502382,0.06367506
510,0.1127873,0.1167061,0.04898874,0.2258845,0.3815441,0.09484916,0.1512725,0.06374364
515,0.1136749,0.1168222,0.04904111,0.2268802,0.3822897,0.09489328,0.1522738,0.06383439
520,0.1145848,0.1169388,0.04910851,0.2277956,0.3830149,0.09489166,0.1533262,0.06384113
525,0.1153444,0.1171368,0.04922226,0.2287373,0.3836643,0.09491874,0.1543844,0.06385788
530,0.1161711,0.1172447,0.04926031,0.2296243,0.3842567,0.09494881,0.1553463,0.06393537
535,0.1168919,0.1174058,0.04919843,0.2305346,0.3849546,0.09494423,0.1563752,0.06394148
540,0.1175667,0.1175608,0.04920865,0.23142,0.3855246,0.09492849,0.1574194,0.06388066
545,0.1182375,0.1178558,0.04928749,0.2324104,0.386177,0.09498409,0.1585494,0.06398652
550,0.1189966,0.1181656,0.04937811,0.2331963,0.3866712,0.09502293,0.1596842,0.0642026
555,0.119728,0.1186306,0.04955398,0.2342084,0.3874048,0.09511559,0.160811,0.06427812
560,0.1203726,0.1190169,0.0496448,0.2351665,0.3878281,0.09517954,0.1619817,0.06432308
565,0.1211206,0.1193267,0.04971108,0.2361245,0.3887284,0.09523279,0.1631987,0.06445635
570,0.1216725,0.1196757,0.04967309,0.2370474,0.3894491,0.09520712,0.1643718,0.06446841
575,0.1221824,0.1199863,0.04967847,0.2378817,0.3897486,0.09519671,0.1654113,0.06441928
580,0.1227734,0.1205488,0.0497628,0.2388327,0.3906022,0.09531078,0.1666959,0.06446692
585,0.1235158,0.1209721,0.04982565,0.2399426,0.3911161,0.09528433,0.1678991,0.06460033
590,0.1238487,0.1212599,0.04977752,0.2404668,0.3912221,0.09512075,0.1688948,0.06451833
595,0.1244982,0.121875,0.049892,0.2415232,0.3919898,0.09528314,0.1701847,0.06457169
600,0.1251161,0.1224586,0.05009118,0.2423379,0.392318,0.09541162,0.1714076,0.06468761
605,0.1258853,0.1231451,0.0502199,0.2433177,0.3929753,0.09548336,0.1728032,0.0649021
610,0.1264284,0.1236476,0.05029975,0.2442163,0.3933867,0.095534,0.1739843,0.06489717
615,0.1270948,0.1244129,0.05047726,0.2451791,0.3938031,0.09565461,0.1752176,0.06509817
620,0.1277219,0.1252399,0.05080516,0.2460648,0.394005,0.09586683,0.1765865,0.0652673
625,0.1285587,0.1261924,0.05116885,0.2472049,0.3947791,0.09618845,0.1780855,0.06562936
630,0.1292944,0.1270601,0.051372,0.2481202,0.3953833,0.09635818,0.1794728,0.06589569
635,0.1300027,0.1280915,0.05162055,0.2491825,0.3961373,0.09657125,0.1808763,0.06617919
640,0.1306549,0.1289488,0.05184747,0.2501625,0.3964685,0.0967558,0.1822843,0.06638553
645,0.1314728,0.1300778,0.05221287,0.2512474,0.3970569,0.09705559,0.183732,0.06672931
650,0.1322019,0.1312435,0.05261885,0.2522631,0.3977515,0.09736769,0.1852568,0.06710367
655,0.1329592,0.132377,0.0530128,0.2533241,0.3982605,0.09764231,0.1866471,0.06752427
660,0.1336623,0.1336753,0.05344877,0.2544486,0.3989855,0.09808041,0.1882439,0.06796271
665,0.1340711,0.1349373,0.05383921,0.2553866,0.3994001,0.09843348,0.1896196,0.06810289
670,0.1346965,0.1363168,0.05408311,0.2565788,0.4005399,0.09875511,0.1911979,0.06823473
675,0.1350669,0.1371857,0.05389009,0.2569978,0.4004116,0.09847843,0.1920261,0.06829549
680,0.1356184,0.1383237,0.05385754,0.2579494,0.4011155,0.09832729,0.193264,0.0683739
685,0.1361662,0.1395258,0.05376854,0.2585654,0.4015443,0.09832772,0.1943452,0.0685591
690,0.1363372,0.1406079,0.05373856,0.2590164,0.4014172,0.09826189,0.1953942,0.06858858
695,0.1368552,0.1421351,0.05387995,0.2601467,0.4023966,0.09847027,0.1968941,0.06874488
700,0.1367157,0.1433598,0.0539647,0.2603085,0.4019112,0.0983951,0.1977297,0.06864607
705,0.1370132,0.144998,0.05410246,0.2612628,0.4027157,0.09846523,0.1989775,0.06846776
710,0.1371008,0.1462523,0.05390645,0.2615486,0.402422,0.09823164,0.1997895,0.06815108
715,0.137948,0.1482734,0.05401495,0.2630808,0.4039572,0.09851599,0.2016384,0.06838619
720,0.1386718,0.1504476,0.05446886,0.2638299,0.4040908,0.09903784,0.2029776,0.06897727
725,0.1394402,0.1529766,0.05524019,0.265046,0.4047813,0.09974912,0.2047121,0.06935036
730,0.1395763,0.155023,0.05547231,0.265515,0.4045542,0.09983838,0.20591,0.06938098
735,0.1400132,0.157154,0.05526888,0.2663888,0.405316,0.09970614,0.2072078,0.06943268
740,0.1397965,0.1584942,0.05464367,0.2658874,0.4040757,0.09893649,0.2072999,0.06887645
745,0.140318,0.1606092,0.05421369,0.2663244,0.4045373,0.09853305,0.2082901,0.06869975
750,0.1405575,0.1631239,0.05417775,0.2670223,0.4048633,0.09842891,0.2094036,0.06832964
755,0.1410765,0.1655365,0.05389111,0.2673509,0.4042675,0.09821371,0.2102248,0.06794177
760,0.1416832,0.1683826,0.0538301,0.2680386,0.4043331,0.09814025,0.2113244,0.06766944
765,0.1424625,0.1712623,0.0538688,0.2684959,0.4045002,0.09803762,0.2123284,0.06756447
770,0.1430729,0.1744623,0.05409921,0.2691298,0.4047299,0.09800747,0.2137485,0.06752431
775,0.1440493,0.1779751,0.05396406,0.270007,0.405063,0.09798573,0.21494,0.06750412
780,0.1453145,0.1820537,0.05413597,0.271338,0.4058382,0.09823204,0.2165832,0.06776196
785,0.1458856,0.1853208,0.05414033,0.2713205,0.4048948,0.09803052,0.2172576,0.06761126
790,0.1470523,0.1900181,0.05433263,0.2727199,0.4059546,0.09821299,0.2188985,0.06759572
795,0.1479362,0.1942992,0.0544388,0.2733433,0.4062447,0.09819792,0.2201619,0.06752174
800,0.1485934,0.1981408,0.05425435,0.2736172,0.4055386,0.09783117,0.220759,0.06737549
805,0.1500888,0.203336,0.05450992,0.2756299,0.4077211,0.09840026,0.2228677,0.06765045
810,0.1509616,0.2080042,0.05441979,0.2763899,0.407976,0.09836133,0.2239014,0.06749079
815,0.1519609,0.2123909,0.05438972,0.2769055,0.4080318,0.09821377,0.2246959,0.06739917
820,0.1528837,0.217459,0.05417736,0.2777814,0.4081278,0.09811898,0.2259179,0.06736454
825,0.1538074,0.2226527,0.05401909,0.2786374,0.408551,0.09811145,0.2270778,0.06729904
830,0.1547284,0.22814,0.05406649,0.2795133,0.4092946,0.09813254,0.2282857,0.0674393
835,0.1559759,0.2340126,0.05418058,0.2804845,0.4096357,0.0983202,0.2295761,0.06734042
840,0.1570989,0.2401655,0.05468553,0.2817416,0.4101976,0.09878596,0.2307424,0.06760745
845,0.1587071,0.246312,0.05507061,0.2829826,0.4109345,0.09915665,0.2326357,0.0681796
850,0.1599303,0.2528357,0.05545611,0.2843886,0.411517,0.09949207,0.2339163,0.06854544
855,0.1614852,0.2595851,0.05591094,0.2857212,0.4123939,0.1002138,0.23536,0.06902084
860,0.1629872,0.266467,0.05621589,0.2870485,0.4134268,0.1005854,0.2368937,0.06934933
865,0.1643256,0.2732717,0.05636841,0.2882716,0.4142184,0.101064,0.2384936,0.06964401
870,0.1657913,0.2807638,0.05710579,0.289485,0.4144845,0.1015164,0.2399485,0.07000979
875,0.1670517,0.2881292,0.05764471,0.2909292,0.4156458,0.1023898,0.2413255,0.07021181
880,0.1691433,0.2958,0.05856094,0.2921844,0.4165628,0.1028753,0.2430889,0.07094777
885,0.1707824,0.3039129,0.05919268,0.2942018,0.4177796,0.1036596,0.2448708,0.0715505
890,0.1726795,0.3120441,0.05988462,0.2959439,0.4188115,0.1045357,0.2463161,0.07233044
895,0.1744046,0.3199632,0.06062432,0.2970588,0.4196228,0.1053083,0.2477454,0.07292213
900,0.1762273,0.3278423,0.06158058,0.2979209,0.4208076,0.1058234,0.2492995,0.07360649
905,0.1780997,0.3364822,0.0624117,0.299762,0.4213872,0.1067902,0.25069,0.07382554
910,0.1800123,0.3448893,0.06298362,0.301058,0.4224597,0.107656,0.2525433,0.07500008
