Wavelength_nm,AZURITE EF Glair,AZURITE EF GA,BUCKTHORN Pure,BURNT UMBER Glair,BURNT UMBER GA,CALCITE Glair,CALCITE GA,CARMINE GA,CINNABAR Glair,CINNABAR GA,GAMBOGE GA,HEMATITE Glair,INDIGO GA,INDIAN YELLOW INK,LAPISLAZULI Glair,LAPISLAZULI GA,LEAD TIN YELLOW Glair,LEAD TIN YELLOW GA,LEAD WHITE Glair,LEAD WHITE GA,MINIUM Glair,MINIUM GA,MALACHITE Glair,MALACHITE GA,YELLOW OCKER Glair,YELLOW OCKER GA,ORPIMENT Glair,ORPIMENT GA,SAFFRON GA,SMALT Glair,SMALT GA,VERDIGRIS Glair,VERDIGRIS GA
2500.354054,0.285848,0.0129887,0.312896,0.766112,0.337957,0.0532376,0.337474,0.5761,0.000966549,0.237833,0.264795,0.395762,0.284999,0.359406,0.353488,0.111854,0.252788,0.449947,0.209156,0.249131,0.0244273,0.191823,0.325573,0.188244,0.538608,0.409494,0.00197409,0.129565,0.112332,0.144909,0.221109,0.676907,0.67999
2501.51972,0.28239,0.0154092,0.309566,0.769367,0.333551,0.0516875,0.333953,0.574724,0.00413154,0.235119,0.274246,0.394361,0.284184,0.360428,0.352264,0.110561,0.256569,0.441495,0.210632,0.248648,0.0248547,0.193737,0.328773,0.187375,0.536206,0.403103,0.00963715,0.131537,0.107605,0.149468,0.217974,0.677951,0.681308
2502.686474,0.280035,0.0169274,0.307317,0.771977,0.334288,0.0527184,0.331142,0.572953,0.00656649,0.237839,0.27469,0.39414,0.283983,0.361701,0.351103,0.107474,0.259465,0.435073,0.209253,0.250663,0.0260034,0.193312,0.332575,0.186975,0.535704,0.39985,0.0160652,0.13328,0.104032,0.150696,0.214966,0.678152,0.678974
2503.854316,0.282196,0.0186693,0.308068,0.766282,0.329288,0.0549101,0.331127,0.57327,0.00409785,0.236066,0.268906,0.398313,0.284976,0.366581,0.353548,0.10451,0.256112,0.439818,0.201781,0.250407,0.0269765,0.191679,0.331211,0.185005,0.537088,0.392033,0.0139707,0.138605,0.102978,0.145593,0.213905,0.673054,0.666963
2505.023249,0.284114,0.018663,0.307748,0.768009,0.32064,0.0548776,0.328099,0.575313,0.00513458,0.234004,0.268631,0.40159,0.286807,0.36649,0.355363,0.102594,0.25363,0.440279,0.199566,0.250591,0.0263323,0.190649,0.329242,0.183225,0.537567,0.392497,0.00831106,0.136247,0.110571,0.140658,0.215006,0.667383,0.665508
2506.193274,0.285304,0.017118,0.310759,0.769941,0.323169,0.055968,0.329327,0.576597,0.00545268,0.230884,0.267514,0.401722,0.287891,0.365711,0.354701,0.100005,0.252319,0.440547,0.201743,0.249143,0.0260407,0.18929,0.328777,0.18417,0.53419,0.389892,0.00754981,0.134978,0.111424,0.133544,0.213196,0.666629,0.665856
2507.364393,0.285081,0.0173338,0.313995,0.772379,0.324687,0.0553523,0.331151,0.574747,0.00687101,0.231223,0.267527,0.400858,0.285872,0.367925,0.35456,0.101089,0.253294,0.442798,0.203114,0.250719,0.0259877,0.192343,0.328294,0.183416,0.531746,0.390935,0.00898628,0.134628,0.111455,0.13499,0.211606,0.665965,0.668597
2508.536606,0.285369,0.0176054,0.312984,0.774072,0.328593,0.0547593,0.331371,0.57198,0.00829373,0.232364,0.268211,0.399519,0.28296,0.365488,0.352649,0.103052,0.253708,0.447099,0.203995,0.248851,0.0287137,0.192494,0.327677,0.180922,0.5307,0.393705,0.0106182,0.135195,0.11121,0.136528,0.20991,0.667513,0.670723
2509.709916,0.286144,0.0175034,0.313636,0.775192,0.330476,0.0550051,0.331724,0.570851,0.00856283,0.233654,0.265913,0.399436,0.282056,0.364929,0.35289,0.103036,0.254164,0.447575,0.20403,0.24754,0.03111,0.192682,0.326773,0.179805,0.530508,0.396726,0.0112381,0.135252,0.111896,0.136632,0.208007,0.669244,0.671211
2510.884324,0.286235,0.0175354,0.313896,0.77539,0.330794,0.054716,0.330844,0.570546,0.00860421,0.232908,0.264491,0.398683,0.280158,0.362844,0.352678,0.103317,0.255353,0.445639,0.203181,0.245561,0.0327859,0.192513,0.325722,0.177692,0.528506,0.396822,0.0114711,0.134822,0.110835,0.136858,0.206648,0.66893,0.672912
