wl,AZURITE EF Glair,AZURITE EF GA,BUCKTHORN Pure,BURNT UMBER Glair,BURNT UMBER GA,CALCITE Glair,CALCITE GA,CARMINE GA,CINNABAR Glair,CINNABAR GA,GAMBOGE GA,HEMATITE Glair,INDIGO GA,INDIAN YELLOW INK,LAPISLAZULI Glair,LAPISLAZULI GA,LEAD TIN YELLOW Glair,LEAD TIN YELLOW GA,LEAD WHITE Glair,LEAD WHITE GA,MINIUM Glair,MINIUM GA,MALACHITE Glair,MALACHITE GA,YELLOW OCKER Glair,YELLOW OCKER GA,ORPIMENT Glair,ORPIMENT GA,SAFFRON GA,SMALT Glair,SMALT GA,VERDIGRIS Glair,VERDIGRIS GA
400,0.2215752,0.1822498,0.09540795,0.05911148,0.05701515,0.7450354,0.4763415,0.05693229,0.1132495,0.1589865,0.1374799,0.1175512,0.08442934,0.3440295,0.2758197,0.1589865,0.1252294,0.1244933,0.8568909,0.6838686,0.08593357,0.1237711,0.2048719,0.1687145,0.1135717,0.09381904,0.1330826,0.2264906,0.7365409,0.495362,0.2808627,0.08080645,0.07182281
405,0.2421407,0.200813,0.09156643,0.05452169,0.05331074,0.7510484,0.4876364,0.05256999,0.1084602,0.1535559,0.1335979,0.1145363,0.08237278,0.3430904,0.2766399,0.1589091,0.1294647,0.1267007,0.8595101,0.6932136,0.08134972,0.118423,0.2182239,0.1783841,0.1103456,0.09057158,0.1286481,0.2222553,0.7463892,0.4949257,0.2848157,0.0779181,0.07032102
410,0.262779,0.2197387,0.08934651,0.0514043,0.05077949,0.7588098,0.500415,0.04904626,0.1049444,0.1498574,0.1310391,0.1127752,0.08161296,0.3436562,0.2796802,0.1611204,0.1380685,0.1322272,0.8627331,0.7035472,0.07823725,0.1147047,0.2322108,0.1882804,0.1086844,0.0887266,0.1260037,0.2198264,0.7553744,0.4947788,0.2895261,0.07738593,0.07064941
415,0.2822171,0.238329,0.08850094,0.04960854,0.04918402,0.7662568,0.5139449,0.04600078,0.1025948,0.1475035,0.1293491,0.1119779,0.08146172,0.3451173,0.2855661,0.165529,0.1501847,0.1404787,0.8656613,0.713896,0.07626653,0.1122402,0.2456962,0.1980908,0.1087092,0.08809447,0.1241705,0.2183991,0.7644883,0.4950621,0.2949439,0.07882156,0.07256447
420,0.3005527,0.256004,0.08849643,0.04866709,0.04827947,0.7725149,0.5278203,0.04348832,0.1007512,0.1460525,0.1281156,0.1115914,0.08132424,0.3464407,0.2941568,0.1715667,0.1649271,0.1509521,0.8669839,0.7230049,0.0748419,0.1109461,0.2581524,0.207007,0.1106439,0.08847265,0.1231167,0.2177794,0.7730371,0.4927639,0.2987239,0.08185786,0.07606512
425,0.3178343,0.2726195,0.08985899,0.04843668,0.04788075,0.7807466,0.5424314,0.04157902,0.09987086,0.1455676,0.1276391,0.111605,0.08142456,0.3484339,0.3056916,0.1795777,0.1829234,0.1644043,0.870312,0.7330271,0.07425177,0.1104246,0.2707212,0.2160109,0.1148127,0.09000413,0.123046,0.2184384,0.7831929,0.4876033,0.3012834,0.08741397,0.08194621
430,0.3323091,0.286966,0.09153721,0.04831016,0.04746335,0.7867718,0.5551398,0.03991225,0.09862412,0.1449327,0.1271516,0.1114013,0.08119611,0.3489398,0.3184004,0.1885256,0.2028229,0.1793335,0.8713215,0.7410836,0.07369295,0.1100684,0.2819976,0.2241688,0.1202137,0.09197541,0.1230583,0.2188604,0.7911987,0.4786345,0.3014441,0.09469253,0.08972868
435,0.3447168,0.2991492,0.09400254,0.04838055,0.04728445,0.7926512,0.5675602,0.03820023,0.09768163,0.1443537,0.1268777,0.1111471,0.08095342,0.349017,0.3312185,0.198121,0.2245006,0.1959578,0.8719857,0.7487388,0.07330493,0.1097013,0.2931214,0.2322389,0.1266681,0.09435938,0.1236673,0.2199883,0.7983876,0.4677814,0.3005072,0.1041792,0.1000397
440,0.3552529,0.3096569,0.09761953,0.04851599,0.04729873,0.79893,0.5805032,0.0366442,0.09711681,0.1440302,0.1268571,0.1109781,0.08078392,0.3489427,0.3446957,0.2084586,0.2478637,0.2143767,0.8738842,0.756988,0.07313275,0.1095371,0.3045545,0.2408119,0.132982,0.09674545,0.125042,0.2219931,0.805915,0.4557762,0.2984544,0.1162811,0.1133982
445,0.3628936,0.3176579,0.1034385,0.0488537,0.0473621,0.8049412,0.5925441,0.03512225,0.09653805,0.1439515,0.1269246,0.1107075,0.08031189,0.3484575,0.3574037,0.2180519,0.2717742,0.2338898,0.8760924,0.7650365,0.07302394,0.1095662,0.3163004,0.2495779,0.1378316,0.09834741,0.1271374,0.2251096,0.8133693,0.4392503,0.2930885,0.1319885,0.1308828
