wl,AZURITE - GAMBOGE GA on Paper,AZURITE - GAMBOGE GA on Parchment,AZURITE - LEAD WHITE Glair on Paper,AZURITE - LEAD WHITE Glair on Parchment,AZURITE - LEAD WHITE GA on Paper,AZURITE - LEAD WHITE GA on Parchment,CARMINE - GAMBOGE GA on Paper,CARMINE - GAMBOGE GA on Parchment,CARMINE - LEAD WHITE GA on Paper,CARMINE - LEAD WHITE GA on Parchment,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,CINNABAR - LEAD TIN-YELLOW - LEAD WHITE GA on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE GA on Parchment,CINNABAR - LEAD WHITE Glair on Paper,CINNABAR - LEAD WHITE Glair on Parchment,CINNABAR - LEAD WHITE GA on Paper,CINNABAR - LEAD WHITE GA on Parchment,GAMBOGE - MALACHITE GA on Paper,GAMBOGE - MALACHITE GA on Parchment,GAMBOGE - VERDIGRIS GA on Paper,GAMBOGE - VERDIGRIS GA on Parchment,INDIGO - ORPIMENT GA on Paper,INDIGO - ORPIMENT GA on Parchment,LEAD TIN YELLOW - LEAD WHITE Glair on Paper,LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,LEAD TIN YELLOW - LEAD WHITE GA on Paper,LEAD TIN YELLOW - LEAD WHITE GA on Parchment,MINIUM - LEAD TIN YELLOW Glair on Paper,MINIUM - LEAD TIN YELLOW Glair on Parchment,MINIUM - LEAD TIN YELLOW GA on Paper,MINIUM - LEAD TIN YELLOW GA on Parchment,MALACHITE - LEAD WHITE Glair on Paper,MALACHITE - LEAD WHITE Glair on Parchment,MALACHITE - LEAD WHITE GA on Paper,MALACHITE - LEAD WHITE GA on Parchment,SAFFRON - GAMBOGE GA on Paper,SAFFRON - GAMBOGE GA on Parchment,VERDIGRIS - LEAD WHITE Glair on Paper,VERDIGRIS - LEAD WHITE Glair on Parchment,VERDIGRIS - LEAD WHITE GA on Paper,VERDIGRIS - LEAD WHITE GA on Parchment
400,0.1118243,0.1318748,0.4016224,0.3958073,0.4331884,0.4437913,0.07665235,0.07517042,0.1332747,0.1425534,0.1523217,0.14691,0.1986895,0.2011376,0.1844026,0.1667497,0.2770804,0.2497064,0.09048291,0.08825731,0.09276009,0.09746716,0.140533,0.1309742,0.1906923,0.1820136,0.1902825,0.168596,0.1349716,0.1241096,0.1102609,0.1127695,0.4236756,0.4098234,0.308357,0.2956522,0.09395757,0.0760041,0.3775423,0.2974004,0.3401197,0.3743437
405,0.1057934,0.127273,0.4225807,0.4160878,0.4523794,0.4604803,0.07028099,0.06956562,0.1269921,0.1379936,0.1523592,0.1475859,0.2030103,0.2058571,0.1796469,0.1627716,0.2730542,0.2471073,0.08583222,0.08503905,0.08709845,0.09336054,0.1358803,0.1273921,0.1948918,0.1874587,0.191814,0.1705422,0.1357502,0.1252031,0.1085354,0.1116735,0.4424072,0.4279082,0.3185172,0.3075463,0.08991391,0.07227127,0.3898003,0.3030845,0.3520146,0.3842201
410,0.1017939,0.1242972,0.4438961,0.4358679,0.4727566,0.4782167,0.0658574,0.06592558,0.1221688,0.1341425,0.1553112,0.1509288,0.2111855,0.2134788,0.175946,0.1598184,0.2710703,0.2459629,0.08235051,0.08334624,0.08337835,0.09044739,0.1329554,0.1251375,0.2046751,0.197059,0.1973698,0.176838,0.1400313,0.129372,0.1085693,0.112533,0.4613844,0.4458122,0.3289641,0.3197505,0.08781746,0.07005313,0.4047941,0.3115884,0.3656006,0.3959348
415,0.09919386,0.1223525,0.4643785,0.4552383,0.4921547,0.4951133,0.06280289,0.06339437,0.1178718,0.1306562,0.1604934,0.1562491,0.2224693,0.2237698,0.1733488,0.1575797,0.2701271,0.2454413,0.08020134,0.08213948,0.08090592,0.0885754,0.1313474,0.124078,0.2175369,0.2104629,0.2062768,0.1860795,0.1470402,0.1361728,0.110323,0.1145063,0.4783552,0.4621008,0.339543,0.3322935,0.08708536,0.06885188,0.4215569,0.3216159,0.3802916,0.4093865
420,0.09747522,0.1212398,0.4826288,0.471857,0.5095302,0.5105848,0.0607425,0.06168496,0.1141526,0.1273664,0.1673136,0.1625733,0.2361801,0.2362172,0.1711988,0.1558324,0.2698475,0.2453887,0.07874548,0.0815345,0.0791181,0.08728642,0.1305774,0.1237298,0.2333231,0.2268006,0.217667,0.1979281,0.1558884,0.144199,0.1127791,0.1171291,0.4929434,0.4763618,0.3499937,0.3447519,0.08728981,0.06842262,0.4387521,0.3325929,0.3961507,0.4237078
425,0.09689296,0.1210977,0.4994728,0.4881085,0.52613,0.5265166,0.05955944,0.06101681,0.1113413,0.1250749,0.1754429,0.1704587,0.2530142,0.2511978,0.1700402,0.1549715,0.2705574,0.2465597,0.07829747,0.08164557,0.07842701,0.08720371,0.1309483,0.1244008,0.2526236,0.2470193,0.2321916,0.2126486,0.1662987,0.1540424,0.1158006,0.1202591,0.5069628,0.4901921,0.3602701,0.3572632,0.08900852,0.06891519,0.4583164,0.3460013,0.4132838,0.4393528
430,0.09658446,0.1208991,0.5128828,0.5003517,0.5403987,0.5402144,0.05875552,0.06030748,0.1087302,0.1226389,0.1837933,0.178289,0.2708454,0.2668577,0.1687431,0.153863,0.2704096,0.2468882,0.07815415,0.08196252,0.07807162,0.08696342,0.1313469,0.1250263,0.2739652,0.2688038,0.2484617,0.2289819,0.1767326,0.163721,0.1186294,0.1231106,0.5183903,0.501326,0.3697091,0.3683707,0.09138005,0.06995441,0.4779457,0.360214,0.4297186,0.4544457
435,0.09625044,0.1209976,0.5241234,0.5111007,0.5529341,0.5532485,0.05796488,0.05976009,0.1058395,0.1199958,0.1919001,0.1860067,0.2893066,0.2829544,0.1677826,0.1527692,0.2702182,0.2472569,0.07811198,0.08259043,0.0778642,0.08703537,0.1319324,0.1259183,0.296795,0.2919892,0.2660367,0.2468834,0.187121,0.1735113,0.121303,0.1259633,0.5287862,0.5117556,0.3785968,0.3794211,0.0947804,0.07174218,0.4988953,0.3764376,0.4460748,0.4699418
440,0.09628848,0.1213181,0.5341783,0.5208234,0.56479,0.5657322,0.05727814,0.05957415,0.1029562,0.1175354,0.2000069,0.1937143,0.3084966,0.2997505,0.1671569,0.1522712,0.2704918,0.2480898,0.07854999,0.08345372,0.07797348,0.08728305,0.1329274,0.12722,0.3210815,0.3165872,0.2852172,0.2663648,0.1972525,0.1830379,0.1240008,0.1287276,0.5398995,0.5229169,0.3881956,0.3912151,0.09956116,0.07448962,0.5224535,0.3956664,0.4634936,0.4865296
445,0.09654779,0.1214784,0.5422562,0.5283537,0.5751992,0.577424,0.05678676,0.05914239,0.1001694,0.1145986,0.2081933,0.2010078,0.3277291,0.3163172,0.1666559,0.1518949,0.2708676,0.2488071,0.07914546,0.08451878,0.07858907,0.08771311,0.1345806,0.1287845,0.3464034,0.3413791,0.3058903,0.2870321,0.2072415,0.1920265,0.1264977,0.1309957,0.551057,0.5339481,0.3988945,0.4037532,0.1063105,0.07841626,0.5479462,0.4175912,0.481786,0.5040261
