Endmember,Abundance,MetaKey,MetaValue
AZURITE EF Glair #1,5.9204090518960584e-08,x,0
AZURITE EF GA #1,2.962992340371784e-08,y,0
BUCKTHORN Pure #1,2.2540636024359628e-08,cube_name,Reflectance_Mixtures
BURNT UMBER Glair #1,0.5042629837989807,job.name,FCLS (From library)
BURNT UMBER GA #1,3.244748469910519e-08,job.model,FCLS
CALCITE Glair #1,4.9261931422961425e-08,job.normalization,L2
CALCITE GA #1,3.322338670841418e-08,job.anc,True
CARMINE GA #1,2.8545368735422016e-08,job.asc,True
CINNABAR Glair #1,1.0397307903531328e-08,job.preprocess,raw
CINNABAR GA #1,1.390606385598403e-08,,
GAMBOGE GA #1,1.753819134364676e-08,,
HEMATITE Glair #1,0.28054261207580566,,
INDIGO GA #1,2.0644748133236135e-08,,
INDIAN YELLOW INK #1,2.1559833029982656e-08,,
LAPISLAZULI Glair #1,4.890919313993436e-08,,
LAPISLAZULI GA #1,1.7162465226761014e-08,,
LEAD TIN YELLOW Glair #1,1.8567119397516763e-08,,
LEAD TIN YELLOW GA #1,2.796300435647936e-08,,
LEAD WHITE Glair #1,2.8130804352599625e-08,,
LEAD WHITE GA #1,1.631661383783012e-08,,
MINIUM Glair #1,1.300759322475642e-08,,
MINIUM GA #1,1.2810794203232945e-08,,
MALACHITE Glair #1,2.3658532910530994e-08,,
MALACHITE GA #1,1.714669473074082e-08,,
YELLOW OCKER Glair #1,7.423373205028838e-08,,
YELLOW OCKER GA #1,0.21519263088703156,,
ORPIMENT Glair #1,1.0459808130747206e-08,,
ORPIMENT GA #1,1.2232887591778763e-08,,
SAFFRON GA #1,1.3290668121612725e-08,,
SMALT Glair #1,4.103100366137369e-07,,
SMALT GA #1,2.852399916264403e-07,,
VERDIGRIS Glair #1,3.9202337376309515e-08,,
VERDIGRIS GA #1,3.722975918662996e-07,,
