Wavelength_nm,AZURITE - GAMBOGE GA on Paper,AZURITE - GAMBOGE GA on Parchment,AZURITE - LEAD WHITE Glair on Paper,AZURITE - LEAD WHITE Glair on Parchment,AZURITE - LEAD WHITE GA on Paper,AZURITE - LEAD WHITE GA on Parchment,CARMINE - GAMBOGE GA on Paper,CARMINE - GAMBOGE GA on Parchment,CARMINE - LEAD WHITE GA on Paper,CARMINE - LEAD WHITE GA on Parchment,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,CINNABAR - LEAD TIN-YELLOW - LEAD WHITE GA on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE GA on Parchment,CINNABAR - LEAD WHITE Glair on Paper,CINNABAR - LEAD WHITE Glair on Parchment,CINNABAR - LEAD WHITE GA on Paper,CINNABAR - LEAD WHITE GA on Parchment,GAMBOGE - MALACHITE GA on Paper,GAMBOGE - MALACHITE GA on Parchment,GAMBOGE - VERDIGRIS GA on Paper,GAMBOGE - VERDIGRIS GA on Parchment,INDIGO - ORPIMENT GA on Paper,INDIGO - ORPIMENT GA on Parchment,LEAD TIN YELLOW - LEAD WHITE Glair on Paper,LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,LEAD TIN YELLOW - LEAD WHITE GA on Paper,LEAD TIN YELLOW - LEAD WHITE GA on Parchment,MINIUM - LEAD TIN YELLOW Glair on Paper,MINIUM - LEAD TIN YELLOW Glair on Parchment,MINIUM - LEAD TIN YELLOW GA on Paper,MINIUM - LEAD TIN YELLOW GA on Parchment,MALACHITE - LEAD WHITE Glair on Paper,MALACHITE - LEAD WHITE Glair on Parchment,MALACHITE - LEAD WHITE GA on Paper,MALACHITE - LEAD WHITE GA on Parchment,SAFFRON - GAMBOGE GA on Paper,SAFFRON - GAMBOGE GA on Parchment,VERDIGRIS - LEAD WHITE Glair on Paper,VERDIGRIS - LEAD WHITE Glair on Parchment,VERDIGRIS - LEAD WHITE GA on Paper,VERDIGRIS - LEAD WHITE GA on Parchment
2500.354054,0.761636,0.930343,0.485203,0.538636,0.632729,0.836649,0.709168,0.803203,0.321369,0.526238,0.373499,0.514636,0.91362,0.76491,0.445241,0.507768,0.681354,0.814882,0.787815,0.726474,0.91069,0.80355,0.303744,0.700712,0.320159,0.514636,0.634211,0.400705,0.0749796,0.361077,0.874525,0.517907,0.440917,0.362912,0.746478,0.782219,0.420593,0.741908,0.484656,0.805763,0.760895,0.763083
2501.51972,0.783734,0.932613,0.478634,0.536488,0.630799,0.843684,0.714686,0.803601,0.316466,0.520127,0.372943,0.520494,0.911593,0.777207,0.444066,0.504006,0.674932,0.814437,0.790942,0.728508,0.923674,0.80779,0.305764,0.7012,0.321998,0.520494,0.626422,0.399526,0.126274,0.363491,0.865793,0.526556,0.441018,0.360721,0.744048,0.77286,0.416263,0.740972,0.481521,0.802187,0.760823,0.778787
2502.686474,0.803253,0.935448,0.474718,0.536283,0.632158,0.849829,0.721872,0.805283,0.312859,0.513264,0.370677,0.523274,0.913273,0.785105,0.442418,0.503718,0.66952,0.816892,0.78774,0.736224,0.940161,0.80553,0.3089,0.703174,0.323268,0.523274,0.618458,0.398686,0.158673,0.363753,0.855388,0.535119,0.441703,0.36127,0.746107,0.761491,0.413134,0.742435,0.477546,0.796351,0.763308,0.792765
2503.854316,0.8046,0.941729,0.473365,0.535361,0.642112,0.858065,0.728275,0.805224,0.311755,0.512266,0.368883,0.527064,0.905528,0.793745,0.447125,0.508903,0.66344,0.835894,0.791347,0.747969,0.939359,0.802693,0.309227,0.696836,0.32221,0.527064,0.610782,0.399562,0.143802,0.361756,0.852918,0.534996,0.439007,0.365738,0.739288,0.758271,0.411995,0.740509,0.470502,0.788561,0.769609,0.780547
2505.023249,0.801551,0.946779,0.473478,0.537141,0.646845,0.856421,0.724845,0.815739,0.313688,0.515657,0.367031,0.530134,0.908902,0.792718,0.445208,0.509942,0.660923,0.835355,0.792429,0.744517,0.932993,0.810337,0.306171,0.700145,0.319463,0.530134,0.607413,0.400051,0.132805,0.362094,0.861326,0.53529,0.438081,0.367685,0.740284,0.766941,0.409698,0.739802,0.466701,0.784164,0.77351,0.783168
2506.193274,0.794279,0.947663,0.473581,0.53401,0.645398,0.858325,0.721047,0.816773,0.314406,0.51514,0.367601,0.526229,0.903869,0.786472,0.447142,0.508727,0.660113,0.833153,0.786277,0.744165,0.935525,0.811927,0.305437,0.703645,0.320001,0.526229,0.606673,0.401706,0.12623,0.363478,0.862236,0.536703,0.437799,0.370279,0.74313,0.775513,0.411197,0.735404,0.463337,0.785755,0.773674,0.787477
2507.364393,0.789573,0.950392,0.476416,0.534771,0.644383,0.858276,0.72212,0.818529,0.317914,0.516615,0.367587,0.522939,0.898501,0.780433,0.447705,0.508595,0.659194,0.831785,0.78238,0.746958,0.932444,0.813902,0.304451,0.700415,0.322209,0.522939,0.60857,0.402561,0.120525,0.363152,0.858307,0.536854,0.435423,0.36982,0.741723,0.774705,0.411508,0.736675,0.464111,0.785574,0.771322,0.79123
2508.536606,0.78263,0.949559,0.477583,0.538819,0.644017,0.855439,0.723187,0.818519,0.317937,0.516827,0.368034,0.52167,0.898787,0.777081,0.445745,0.509806,0.661289,0.833825,0.78016,0.749123,0.932546,0.815818,0.303382,0.701565,0.322894,0.52167,0.608778,0.401804,0.116901,0.363237,0.854048,0.534592,0.433901,0.370677,0.737539,0.770359,0.410621,0.736023,0.468274,0.783972,0.771512,0.79385
2509.709916,0.778506,0.950705,0.479063,0.540796,0.645361,0.855822,0.721768,0.820107,0.317978,0.518644,0.368329,0.5207,0.899005,0.77396,0.445043,0.509823,0.662027,0.837241,0.779578,0.751923,0.930001,0.815835,0.302601,0.700816,0.323987,0.5207,0.611641,0.401845,0.109529,0.364136,0.852803,0.532325,0.433295,0.371249,0.734233,0.771249,0.410946,0.735643,0.469282,0.784633,0.771528,0.796034
2510.884324,0.775274,0.946653,0.480115,0.540811,0.643883,0.856046,0.718691,0.821507,0.317308,0.520403,0.368739,0.520627,0.897313,0.771968,0.444783,0.507762,0.66273,0.837244,0.777261,0.75203,0.927323,0.816459,0.30164,0.699537,0.325232,0.520627,0.614191,0.401626,0.106431,0.365162,0.852127,0.530728,0.433135,0.371115,0.731741,0.771586,0.411752,0.735893,0.470659,0.786403,0.76881,0.797328
